Target,Package,License,Severity
"pnpm-lock.yaml","react-markdown","MIT","LOW"
"pnpm-lock.yaml","react-redux","MIT","LOW"
"pnpm-lock.yaml","react-router","MIT","LOW"
"pnpm-lock.yaml","redux","MIT","LOW"
"pnpm-lock.yaml","redux-thunk","MIT","LOW"
"pnpm-lock.yaml","rehype-raw","MIT","LOW"
"pnpm-lock.yaml","remark-gfm","MIT","LOW"
"pnpm-lock.yaml","semantic-ui-css","MIT","LOW"
"pnpm-lock.yaml","semantic-ui-react","MIT","LOW"
"pnpm-lock.yaml","string-template","MIT","LOW"
"pnpm-lock.yaml","topojson-client","ISC","LOW"
"pnpm-lock.yaml","typescript","Apache-2.0","LOW"
"pnpm-lock.yaml","uuid","MIT","LOW"
"pnpm-lock.yaml","@babel/runtime","MIT","LOW"
"pnpm-lock.yaml","@fluentui/react-component-event-listener","MIT","LOW"
"pnpm-lock.yaml","@formatjs/ecma402-abstract","MIT","LOW"
"pnpm-lock.yaml","@formatjs/fast-memoize","MIT","LOW"
"pnpm-lock.yaml","@formatjs/icu-messageformat-parser","MIT","LOW"
"pnpm-lock.yaml","@formatjs/icu-skeleton-parser","MIT","LOW"
"pnpm-lock.yaml","@formatjs/intl","MIT","LOW"
"pnpm-lock.yaml","@formatjs/intl-localematcher","MIT","LOW"
"pnpm-lock.yaml","@mjackson/node-fetch-server","MIT","LOW"
"pnpm-lock.yaml","@nivo/annotations","MIT","LOW"
"pnpm-lock.yaml","@nivo/arcs","MIT","LOW"
"pnpm-lock.yaml","@nivo/axes","MIT","LOW"
"pnpm-lock.yaml","@nivo/canvas","MIT","LOW"
"pnpm-lock.yaml","@nivo/legends","MIT","LOW"
"pnpm-lock.yaml","@nivo/scales","MIT","LOW"
"pnpm-lock.yaml","@nivo/text","MIT","LOW"
"pnpm-lock.yaml","@nivo/tooltip","MIT","LOW"
"pnpm-lock.yaml","@nivo/voronoi","MIT","LOW"
"pnpm-lock.yaml","@popperjs/core","MIT","LOW"
"pnpm-lock.yaml","@react-router/express","MIT","LOW"
"pnpm-lock.yaml","@react-spring/animated","MIT","LOW"
"pnpm-lock.yaml","@react-spring/animated","MIT","LOW"
"pnpm-lock.yaml","@react-spring/core","MIT","LOW"
"pnpm-lock.yaml","@react-spring/core","MIT","LOW"
"pnpm-lock.yaml","@react-spring/rafz","MIT","LOW"
"pnpm-lock.yaml","@react-spring/rafz","MIT","LOW"
"pnpm-lock.yaml","@react-spring/shared","MIT","LOW"
"pnpm-lock.yaml","@react-spring/shared","MIT","LOW"
"pnpm-lock.yaml","@react-spring/types","MIT","LOW"
"pnpm-lock.yaml","@react-spring/types","MIT","LOW"
"pnpm-lock.yaml","@react-spring/web","MIT","LOW"
"pnpm-lock.yaml","@semantic-ui-react/event-stack","MIT","LOW"
"pnpm-lock.yaml","@standard-schema/spec","MIT","LOW"
"pnpm-lock.yaml","@standard-schema/utils","MIT","LOW"
"pnpm-lock.yaml","@superset-ui/switchboard","Apache-2.0","LOW"
"pnpm-lock.yaml","@types/d3-color","MIT","LOW"
"pnpm-lock.yaml","@types/d3-delaunay","MIT","LOW"
"pnpm-lock.yaml","@types/d3-format","MIT","LOW"
"pnpm-lock.yaml","@types/d3-hierarchy","MIT","LOW"
"pnpm-lock.yaml","@types/d3-interpolate","MIT","LOW"
"pnpm-lock.yaml","@types/d3-path","MIT","LOW"
"pnpm-lock.yaml","@types/d3-path","MIT","LOW"
"pnpm-lock.yaml","@types/d3-sankey","MIT","LOW"
"pnpm-lock.yaml","@types/d3-scale","MIT","LOW"
"pnpm-lock.yaml","@types/d3-scale-chromatic","MIT","LOW"
"pnpm-lock.yaml","@types/d3-shape","MIT","LOW"
"pnpm-lock.yaml","@types/d3-time","MIT","LOW"
"pnpm-lock.yaml","@types/d3-time","MIT","LOW"
"pnpm-lock.yaml","@types/d3-time-format","MIT","LOW"
"pnpm-lock.yaml","@types/d3-time-format","MIT","LOW"
"pnpm-lock.yaml","@types/debug","MIT","LOW"
"pnpm-lock.yaml","@types/estree","MIT","LOW"
"pnpm-lock.yaml","@types/estree-jsx","MIT","LOW"
"pnpm-lock.yaml","@types/hast","MIT","LOW"
"pnpm-lock.yaml","@types/hoist-non-react-statics","MIT","LOW"
"pnpm-lock.yaml","@types/mdast","MIT","LOW"
"pnpm-lock.yaml","@types/ms","MIT","LOW"
"pnpm-lock.yaml","@types/prop-types","MIT","LOW"
"pnpm-lock.yaml","@types/trusted-types","MIT","LOW"
"pnpm-lock.yaml","@types/unist","MIT","LOW"
"pnpm-lock.yaml","@types/unist","MIT","LOW"
"pnpm-lock.yaml","@types/use-sync-external-store","MIT","LOW"
"pnpm-lock.yaml","@ungap/structured-clone","ISC","LOW"
"pnpm-lock.yaml","accepts","MIT","LOW"
"pnpm-lock.yaml","array-flatten","MIT","LOW"
"pnpm-lock.yaml","attr-accept","MIT","LOW"
"pnpm-lock.yaml","bail","MIT","LOW"
"pnpm-lock.yaml","basic-auth","MIT","LOW"
"pnpm-lock.yaml","body-parser","MIT","LOW"
"pnpm-lock.yaml","buffer-from","MIT","LOW"
"pnpm-lock.yaml","bytes","MIT","LOW"
"pnpm-lock.yaml","call-bind-apply-helpers","MIT","LOW"
"pnpm-lock.yaml","call-bound","MIT","LOW"
"pnpm-lock.yaml","ccount","MIT","LOW"
"pnpm-lock.yaml","character-entities","MIT","LOW"
"pnpm-lock.yaml","character-entities-html4","MIT","LOW"
"pnpm-lock.yaml","character-entities-legacy","MIT","LOW"
"pnpm-lock.yaml","character-reference-invalid","MIT","LOW"
"pnpm-lock.yaml","clsx","MIT","LOW"
"pnpm-lock.yaml","comma-separated-tokens","MIT","LOW"
"pnpm-lock.yaml","commander","MIT","LOW"
"pnpm-lock.yaml","commander","MIT","LOW"
"pnpm-lock.yaml","compressible","MIT","LOW"
"pnpm-lock.yaml","compression","MIT","LOW"
"pnpm-lock.yaml","content-disposition","MIT","LOW"
"pnpm-lock.yaml","content-type","MIT","LOW"
"pnpm-lock.yaml","cookie","MIT","LOW"
"pnpm-lock.yaml","cookie","MIT","LOW"
"pnpm-lock.yaml","cookie-signature","MIT","LOW"
"pnpm-lock.yaml","csstype","MIT","LOW"
"pnpm-lock.yaml","d3-array","BSD-3-Clause","LOW"
"pnpm-lock.yaml","d3-array","ISC","LOW"
"pnpm-lock.yaml","d3-axis","ISC","LOW"
"pnpm-lock.yaml","d3-brush","ISC","LOW"
"pnpm-lock.yaml","d3-chord","ISC","LOW"
"pnpm-lock.yaml","d3-color","ISC","LOW"
"pnpm-lock.yaml","d3-contour","ISC","LOW"
"pnpm-lock.yaml","d3-delaunay","ISC","LOW"
"pnpm-lock.yaml","d3-dispatch","ISC","LOW"
"pnpm-lock.yaml","d3-drag","ISC","LOW"
"pnpm-lock.yaml","d3-dsv","ISC","LOW"
"pnpm-lock.yaml","d3-ease","BSD-3-Clause","LOW"
"pnpm-lock.yaml","d3-fetch","ISC","LOW"
"pnpm-lock.yaml","d3-force","ISC","LOW"
"pnpm-lock.yaml","d3-format","BSD-3-Clause","LOW"
"pnpm-lock.yaml","d3-format","ISC","LOW"
"pnpm-lock.yaml","d3-geo","ISC","LOW"
"pnpm-lock.yaml","d3-hierarchy","ISC","LOW"
"pnpm-lock.yaml","d3-interpolate","ISC","LOW"
"pnpm-lock.yaml","d3-path","BSD-3-Clause","LOW"
"pnpm-lock.yaml","d3-path","ISC","LOW"
"pnpm-lock.yaml","d3-polygon","ISC","LOW"
"pnpm-lock.yaml","d3-quadtree","ISC","LOW"
"pnpm-lock.yaml","d3-random","ISC","LOW"
"pnpm-lock.yaml","d3-sankey","BSD-3-Clause","LOW"
"pnpm-lock.yaml","d3-scale","ISC","LOW"
"pnpm-lock.yaml","d3-scale-chromatic","ISC","LOW"
"pnpm-lock.yaml","d3-selection","ISC","LOW"
"pnpm-lock.yaml","d3-shape","BSD-3-Clause","LOW"
"pnpm-lock.yaml","d3-time","BSD-3-Clause","LOW"
"pnpm-lock.yaml","d3-time","BSD-3-Clause","LOW"
"pnpm-lock.yaml","d3-time","ISC","LOW"
"pnpm-lock.yaml","d3-time-format","BSD-3-Clause","LOW"
"pnpm-lock.yaml","d3-time-format","ISC","LOW"
"pnpm-lock.yaml","d3-timer","ISC","LOW"
"pnpm-lock.yaml","d3-transition","ISC","LOW"
"pnpm-lock.yaml","d3-zoom","ISC","LOW"
"pnpm-lock.yaml","debug","MIT","LOW"
"pnpm-lock.yaml","debug","MIT","LOW"
"pnpm-lock.yaml","decimal.js","MIT","LOW"
"pnpm-lock.yaml","decode-named-character-reference","MIT","LOW"
"pnpm-lock.yaml","decode-uri-component","MIT","LOW"
"pnpm-lock.yaml","deep-freeze","public domain","UNKNOWN"
"pnpm-lock.yaml","deepmerge","MIT","LOW"
"pnpm-lock.yaml","delaunator","ISC","LOW"
"pnpm-lock.yaml","depd","MIT","LOW"
"pnpm-lock.yaml","dequal","MIT","LOW"
"pnpm-lock.yaml","destroy","MIT","LOW"
"pnpm-lock.yaml","devlop","MIT","LOW"
"pnpm-lock.yaml","dom-serializer","MIT","LOW"
"pnpm-lock.yaml","domelementtype","BSD-2-Clause","LOW"
"pnpm-lock.yaml","domhandler","BSD-2-Clause","LOW"
"pnpm-lock.yaml","domutils","BSD-2-Clause","LOW"
"pnpm-lock.yaml","dotenv","BSD-2-Clause","LOW"
"pnpm-lock.yaml","dunder-proto","MIT","LOW"
"pnpm-lock.yaml","ee-first","MIT","LOW"
"pnpm-lock.yaml","encodeurl","MIT","LOW"
"pnpm-lock.yaml","encodeurl","MIT","LOW"
"pnpm-lock.yaml","entities","BSD-2-Clause","LOW"
"pnpm-lock.yaml","entities","BSD-2-Clause","LOW"
"pnpm-lock.yaml","equals","MIT","LOW"
"pnpm-lock.yaml","es-define-property","MIT","LOW"
"pnpm-lock.yaml","es-errors","MIT","LOW"
"pnpm-lock.yaml","es-object-atoms","MIT","LOW"
"pnpm-lock.yaml","escape-html","MIT","LOW"
"pnpm-lock.yaml","escape-string-regexp","MIT","LOW"
